GEO,POB,SEX,LMS,ROY,COC,AGE,TIME,PROVIDER,VALUE,FLAGS,FOOTNOTES
DE94B,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,111108,,,
DE94C,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,147876,,,
DE94D,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,110957,,,
DE94E,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,293885,,,
DE94F,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,109589,,,
DE94G,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,79221,,,
DE94H,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,52575,,,
DEA,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,14305125,,,
DEA1,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,4117004,,,
DEA11,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,436597,,,
